,Account ID,Account,Account Description,Account Level 1,Account Level 2,Account Level 3,Account Level 4,Product External ID,Product,Department External ID,Department Description,Operating Unit External ID,Operating Unit,Customer Class External ID,Customer Class,Affiliate External ID,Affiliate,Business Unit External ID,Currency,Amount (Debit),Amount (Credit),Balance,Amount (Debit) (Foreign Currency),Amount (Credit) (Foreign Currency),Amount (FC),Control Account,Consol IFRS Code,WKFS BS Product Code,WKFS PL Product Class,WKFS LKP PL Product,WKFS LKPHK Product,WKFS IFRS9 Type,WKFS Trade Indicator
12,1020101,1020101 Due from banks : Items in course of collection from other banks : NOSTRO ACCOUNT SCBHK,NOSTRO ACCOUNT WITH SCBHK,Balance Sheet,1000000 Total assets,1021000 Due from intragroup,1021100 Due from head office and subsidiaries - non-demand,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,238.0,238 SCB HONG KONG LIMITED,460,AUD,0.0,5.3,-5.3,0.0,1.0,-1.0,False,1K,200102.0,0.0,0.0,0.0,4.0,True
17,1020101,1020101 Due from banks : Items in course of collection from other banks : NOSTRO ACCOUNT SCBHK,NOSTRO ACCOUNT WITH SCBHK,Balance Sheet,1000000 Total assets,1021000 Due from intragroup,1021100 Due from head office and subsidiaries - non-demand,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,238.0,238 SCB HONG KONG LIMITED,460,EUR,0.0,813.85,-813.85,0.0,97.96,-97.96,False,1K,200102.0,0.0,0.0,0.0,4.0,True
19,1020101,1020101 Due from banks : Items in course of collection from other banks : NOSTRO ACCOUNT SCBHK,NOSTRO ACCOUNT WITH SCBHK,Balance Sheet,1000000 Total assets,1021000 Due from intragroup,1021100 Due from head office and subsidiaries - non-demand,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,238.0,238 SCB HONG KONG LIMITED,460,USD,3655532.67,17595.96,3637936.71,468781.17,2246.88,466534.29,False,1K,200102.0,0.0,0.0,0.0,4.0,True
22,1020101,1020101 Due from banks : Items in course of collection from other banks : NOSTRO ACCOUNT SCBHK,NOSTRO ACCOUNT WITH SCBHK,Balance Sheet,1000000 Total assets,1021000 Due from intragroup,1021100 Due from head office and subsidiaries - non-demand,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,238.0,238 SCB HONG KONG LIMITED,460,NZD,0.0,5.93,-5.93,0.0,1.2,-1.2,False,1K,200102.0,0.0,0.0,0.0,4.0,True
23,1020101,1020101 Due from banks : Items in course of collection from other banks : NOSTRO ACCOUNT SCBHK,NOSTRO ACCOUNT WITH SCBHK,Balance Sheet,1000000 Total assets,1021000 Due from intragroup,1021100 Due from head office and subsidiaries - non-demand,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,238.0,238 SCB HONG KONG LIMITED,460,HKD,3493927272.59,1647678017.71,1846249254.88,3493927272.59,1647678017.71,1846249254.88,False,1K,200102.0,0.0,0.0,0.0,4.0,True
34,1020101,1020101 Due from banks : Items in course of collection from other banks : NOSTRO ACCOUNT SCBHK,NOSTRO ACCOUNT WITH SCBHK,Balance Sheet,1000000 Total assets,1021000 Due from intragroup,1021100 Due from head office and subsidiaries - non-demand,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,238.0,238 SCB HONG KONG LIMITED,460,CAD,0.0,6.91,-6.91,0.0,1.2,-1.2,False,1K,200102.0,0.0,0.0,0.0,4.0,True
41,1020121,1020121 Due from banks : Items in course of collection from other banks : HKD CLEARING ACCOUNT-ICL,HKD CLEARING ACCOUNT-INTERBANK CLEARING LIMITED,Balance Sheet,1000000 Total assets,1010000 Cash and balances at central banks,1020100 Unrestricted balances with central bank,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,,,460,HKD,30067751163.53,19279.58,30067731883.95,30067751163.53,19279.58,30067731883.95,False,1A,200199.0,0.0,0.0,0.0,4.0,True
49,1020124,1020124 Due from banks : Items in course of collection from other banks : RTGS - FPS A/C,RTGS - FPS ACCOUNT,Balance Sheet,1000000 Total assets,1010000 Cash and balances at central banks,1020100 Unrestricted balances with central bank,,,1063,Project Dragon - Operations,103,103 Alfresco,,,,,460,HKD,2350000000.0,2350000000.0,0.0,2350000000.0,2350000000.0,0.0,False,1A,200199.0,0.0,0.0,0.0,4.0,True
50,1020124,1020124 Due from banks : Items in course of collection from other banks : RTGS - FPS A/C,RTGS - FPS ACCOUNT,Balance Sheet,1000000 Total assets,1010000 Cash and balances at central banks,1020100 Unrestricted balances with central bank,,,1063,Project Dragon - Operations,105,105 Manual Adjustments,,,,,460,HKD,43064.41,23010.0,20054.41,43064.41,23010.0,20054.41,False,1A,200199.0,0.0,0.0,0.0,4.0,True
62,1030121,1030121 Prepayments and accrued income : Accrued interest receivable : AIR-CARDHOLDER BAL,AIR-CARDHOLDER BALANCE,Balance Sheet,1000000 Total assets,1030000 Prepayments and accrued income,1030100 Accrued interest receivable,11101.0,10000 Retail Products : 11000 Unsecured Lending : 11100 Credit Cards : 11101 Credit Cards,1393,Project Dragon - Product,105,105 Manual Adjustments,,,,,460,HKD,20174405.14,20174405.14,0.0,20174405.14,20174405.14,0.0,False,1I,140104.0,0.0,0.0,0.0,4.0,True
